Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Jason Adam,30,0,Maj-AL,"Jun 22, 2022",Tampa Bay,,New York,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,3,1.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,592094
Yency Almonte,28,0,Maj-NL,"Jun 22, 2022",Los Angeles,@,Cincinnati,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,8,0.88,0.25,0.13,0.33,0.33,0.33,0.0,0.0,0.0,,622075
Jose Alvarado,27,0,Maj-NL,"Jun 22, 2022",Philadelphia,@,Texas,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,11,0.73,0.09,0.36,1.0,0.0,0.0,0.0,0.0,18.0,,621237
Tyler Anderson,32,0,Maj-NL,"Jun 22, 2022",Los Angeles,@,Cincinnati,1,1,,,,5.0,5,4,3,1,2,1,1,5.4,44,19,3,0,0,0,0,0,0,0,21,81,0.72,0.19,0.05,0.35,0.24,0.12,1.2,0.25,3.6,2.0,542881
Tanner Banks,30,0,Maj-AL,"Jun 22, 2022",Chicago,,Toronto,1,0,,,,2.1,0,0,0,0,0,0,0,0.0,,7,0,0,0,0,0,0,0,0,7,23,0.74,0.22,0.09,0.29,0.14,0.0,0.0,0.0,0.0,,621383
Joe Barlow,26,0,Maj-AL,"Jun 22, 2022",Texas,,Philadelphia,1,0,,,1.0,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,9,0.78,0.11,0.11,1.0,0.0,0.0,0.0,0.0,0.0,,669618
Shane Baz,23,0,Maj-AL,"Jun 22, 2022",Tampa Bay,,New York,1,1,,,,4.2,4,1,1,2,6,1,0,1.93,56,18,0,0,0,0,0,0,0,0,20,78,0.6,0.19,0.13,0.42,0.17,0.17,1.286,0.273,11.6,3.0,669358
Andrew Bellatti,30,0,Maj-NL,"Jun 22, 2022",Philadelphia,@,Texas,1,0,,,,0.2,0,0,0,0,2,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,11,0.55,0.27,0.18,,,,0.0,,27.0,,571479
Paul Blackburn,28,0,Maj-AL,"Jun 22, 2022",Oakland,,Seattle,1,1,,1.0,,4.0,10,7,7,2,4,2,0,15.75,16,22,4,0,0,0,0,1,0,0,24,92,0.63,0.15,0.12,0.33,0.44,0.0,3.0,0.5,9.0,2.0,621112
John Brebbia,32,0,Maj-NL,"Jun 22, 2022",San Francisco,@,Atlanta,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,13,0.77,0.15,0.23,1.0,0.0,0.0,0.0,0.0,18.0,,605154
Connor Brogdon,27,0,Maj-NL,"Jun 22, 2022",Philadelphia,@,Texas,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,10,0.8,0.1,0.5,0.0,0.0,0.0,0.0,0.0,18.0,,641401
Madison Bumgarner,32,0,Maj-NL,"Jun 22, 2022",Arizona,@,San Diego,1,1,,1.0,,4.0,9,6,4,0,5,0,1,9.0,29,21,0,1,0,1,0,0,0,0,22,85,0.68,0.11,0.13,0.63,0.19,0.0,2.25,0.563,11.3,,518516
Genesis Cabrera,25,0,Maj-NL,"Jun 22, 2022",St. Louis,@,Milwaukee,1,0,,,1.0,2.0,0,0,0,2,1,0,1,0.0,,5,0,0,0,1,0,0,0,0,8,39,0.54,0.13,0.03,1.0,0.0,0.0,1.0,0.0,4.5,0.5,650893
Carlos Carrasco,35,0,Maj-NL,"Jun 22, 2022",New York,@,Houston,1,1,,1.0,,2.1,4,5,5,2,2,3,1,19.29,29,11,1,0,0,0,0,0,0,0,14,51,0.59,0.24,0.08,0.11,0.11,0.0,2.571,0.167,7.7,1.0,471911
Diego Castillo,24,0,Maj-NL,"Jun 22, 2022",Pittsburgh,,Chicago,1,0,,,,1.0,2,4,4,2,1,1,1,36.0,,5,0,0,0,0,0,0,0,0,8,33,0.33,0.03,0.15,0.5,0.25,0.0,4.0,0.333,9.0,0.5,660636
Luis Castillo,29,0,Maj-NL,"Jun 22, 2022",Cincinnati,,Los Angeles,1,1,,,,5.0,5,4,4,3,6,0,2,7.2,44,19,1,0,0,0,1,0,0,0,25,103,0.59,0.15,0.11,0.57,0.21,0.0,1.6,0.357,10.8,2.0,622491
Anthony Castro,27,0,Maj-AL,"Jun 22, 2022",Cleveland,@,Minnesota,1,0,,,,0.2,3,4,4,1,0,1,0,54.0,,5,0,0,0,0,0,0,0,0,6,22,0.55,0.09,0.09,0.2,0.4,0.0,6.0,0.5,0.0,0.0,621593
Adam Cimber,31,0,Maj-AL,"Jun 22, 2022",Toronto,@,Chicago,1,0,,,,0.1,4,3,3,1,0,0,0,81.0,,6,0,0,0,0,0,0,0,0,7,29,0.76,0.03,0.1,0.5,0.33,0.17,15.0,0.667,0.0,0.0,643256
Steve Cishek,36,0,Maj-NL,"Jun 22, 2022",Washington,@,Baltimore,1,0,,,,0.2,4,4,4,1,2,1,0,54.0,,6,1,0,0,0,0,0,0,0,7,31,0.65,0.16,0.13,0.25,0.5,0.0,7.5,1.0,27.0,2.0,518553
Taylor Clarke,29,0,Maj-AL,"Jun 22, 2022",Kansas City,@,Los Angeles,1,0,,,,1.1,0,0,0,0,3,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,20,0.75,0.2,0.05,0.0,0.0,0.0,0.0,0.0,20.3,,664199
Emmanuel Clase,24,0,Maj-AL,"Jun 22, 2022",Cleveland,@,Minnesota,1,0,,,1.0,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,8,0.88,0.25,0.25,1.0,0.0,0.0,0.0,0.0,18.0,,661403
Mike Clevinger,31,0,Maj-NL,"Jun 22, 2022",San Diego,,Arizona,1,1,,,,4.0,4,1,1,2,3,1,0,2.25,51,17,0,0,0,0,0,0,0,0,19,81,0.62,0.16,0.04,0.36,0.14,0.07,1.5,0.231,6.8,1.5,605182
